priority,name,lifeDates,artworkCount,slug,status,note,imageUrl,imagePageUrl,imageSource,sourceUrl,license,imageType,imageStatus,imageNotes,commonsSearchUrl,wikidataSearchUrl,mnavSearchUrl,wikidataId
11,Raúl Javiel Cabrera,1919-1992,117,raul-javiel-cabrera,necesita imagen,,,https://mnav.gub.uy/cms.php?id=cabrerita2019,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q7299790,,artist_page_or_artwork_fallback,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Ra%C3%BAl%20Javiel%20Cabrera%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Ra%C3%BAl%20Javiel%20Cabrera&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Ra%C3%BAl%20Javiel%20Cabrera,Q7299790
12,Francisco de Goya y Lucientes,1746-1828,84,francisco-de-goya-y-lucientes,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg,https://commons.wikimedia.org/wiki/File:Vicente_L%C3%B3pez_Porta%C3%B1a_-_el_pintor_Francisco_de_Goya.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q5432,check_commons_file_page,portrait_or_artist_image,image_found,Autorretrato de Goya en Commons; muy buen candidato.,https://commons.wikimedia.org/w/index.php?search=Francisco%20de%20Goya%20y%20Lucientes%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Francisco%20de%20Goya%20y%20Lucientes&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Francisco%20de%20Goya%20y%20Lucientes,Q5432
13,Federico Lanau,1891-1929,72,federico-lanau,necesita imagen,,,https://mnav.gub.uy/cms.php?a=617,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q42382720,,artist_page_or_artwork_fallback,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Federico%20Lanau%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Federico%20Lanau&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Federico%20Lanau,Q42382720
14,Antonio Frasconi,1919-2013,63,antonio-frasconi,necesita imagen,,,https://en.wikipedia.org/wiki/Antonio_Frasconi,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q3610506,,artist_page_or_portrait_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Antonio%20Frasconi%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Antonio%20Frasconi&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Antonio%20Frasconi,Q3610506
15,Manuel Larravide,1871-1910,61,manuel-larravide,necesita imagen,,,https://commons.wikimedia.org/wiki/Category:Manuel_Larravide,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q5993435,,artwork_fallback,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Manuel%20Larravide%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Manuel%20Larravide&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Manuel%20Larravide,Q5993435
16,Manuel Rosé,1882-1961,58,manuel-rose,necesita imagen,,,https://commons.wikimedia.org/wiki/Category:Manuel_Ros%C3%A9,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q16860267,,artwork_fallback,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Manuel%20Ros%C3%A9%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Manuel%20Ros%C3%A9&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Manuel%20Ros%C3%A9,Q16860267
17,Hugo O'Neill Hamilton,1921-2000,57,hugo-o-neill-hamilton,necesita imagen,,,https://mnav.gub.uy/cms.php?a=328,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q42385529,,artist_page_or_artwork_fallback,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Hugo%20O%27Neill%20Hamilton%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Hugo%20O%27Neill%20Hamilton&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Hugo%20O%27Neill%20Hamilton,Q42385529
18,Guillermo Laborde,1886-1940,53,guillermo-laborde,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Guillermo_laborde_portrait.jpg,https://commons.wikimedia.org/wiki/File:Guillermo_laborde_portrait.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q5888676,check_commons_file_page,portrait_or_artist_image,image_found,Retrato disponible en Commons.,https://commons.wikimedia.org/w/index.php?search=Guillermo%20Laborde%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Guillermo%20Laborde&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Guillermo%20Laborde,Q5888676
19,Pedro Figari,1861-1938,46,pedro-figari,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Pedro_Figari_2.jpg,https://commons.wikimedia.org/wiki/File:Pedro_Figari_2.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q1388990,check_commons_file_page,portrait_or_artist_image,image_found,Fotografía de Pedro Figari en Commons; alternativa: Autorretrato en Commons.,https://commons.wikimedia.org/w/index.php?search=Pedro%20Figari%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Pedro%20Figari&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Pedro%20Figari,Q1388990
20,Joaquín Torres García,1874-1949,41,joaquin-torres-garcia,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Ramon_Casas_-_MNAC-_Joaqu%C3%ADn_Torres_Garc%C3%ADa-_027317-D_026088.jpg,https://commons.wikimedia.org/wiki/File:Ramon_Casas_-_MNAC-_Joaqu%C3%ADn_Torres_Garc%C3%ADa-_027317-D_026088.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q520713,check_commons_file_page,portrait_or_artist_image,image_found,Retrato de Joaquín Torres García por Ramón Casas en Commons.,https://commons.wikimedia.org/w/index.php?search=Joaqu%C3%ADn%20Torres%20Garc%C3%ADa%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Joaqu%C3%ADn%20Torres%20Garc%C3%ADa&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Joaqu%C3%ADn%20Torres%20Garc%C3%ADa,Q520713
21,José María Pagani,1902-1960,40,jose-maria-pagani,necesita imagen,,,https://mnav.gub.uy/cms.php?a=562,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q42383410,institutional_source_review,artwork_reference,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Jos%C3%A9%20Mar%C3%ADa%20Pagani%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Jos%C3%A9%20Mar%C3%ADa%20Pagani&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Jos%C3%A9%20Mar%C3%ADa%20Pagani,Q42383410
22,Eduardo De Martino,1838-1912,37,eduardo-de-martino,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Chevalier_Edward_de_Martino_%281838-1912%29.jpg,https://commons.wikimedia.org/wiki/File:Chevalier_Edward_de_Martino_%281838-1912%29.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q10270818,check_commons_file_page,portrait_or_artist_image,image_found,"Retrato de Eduardo de Martino de The Sketch, 1902. Muy buen candidato para ficha.",https://commons.wikimedia.org/w/index.php?search=Eduardo%20De%20Martino%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Eduardo%20De%20Martino&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Eduardo%20De%20Martino,Q10270818
23,Alberto Castellanos,1869-1908,34,alberto-castellanos,necesita imagen,,,https://mnav.gub.uy/cms.php?a=94,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q8193461,institutional_source_review,artwork_reference,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Alberto%20Castellanos%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Alberto%20Castellanos&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Alberto%20Castellanos,Q8193461
24,José Gamarra,1934-,34,jose-gamarra,necesita imagen,,,https://mnav.gub.uy/cms.php?a=205,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q3186290,institutional_source_review,artwork_reference,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Jos%C3%A9%20Gamarra%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Jos%C3%A9%20Gamarra&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Jos%C3%A9%20Gamarra,Q3186290
25,Germán Cabrera,1903-1990,32,german-cabrera,necesita imagen,,,https://commons.wikimedia.org/w/index.php?search=Germ%C3%A1n%20Cabrera%20artista%20uruguayo&title=Special:MediaSearch&type=image,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q1514301,unknown,search_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Germ%C3%A1n%20Cabrera%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Germ%C3%A1n%20Cabrera&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Germ%C3%A1n%20Cabrera,Q1514301
26,E. Díaz Aranda,,31,e-diaz-aranda,necesita imagen,,,https://commons.wikimedia.org/w/index.php?search=E.%20D%C3%ADaz%20Aranda%20artista&title=Special:MediaSearch&type=image,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q59458523,unknown,search_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=E.%20D%C3%ADaz%20Aranda%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=E.%20D%C3%ADaz%20Aranda&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=E.%20D%C3%ADaz%20Aranda,Q59458523
27,Carlos María Herrera,1875-1914,29,carlos-maria-herrera,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/CarlosMariaHerrera.jpg,https://commons.wikimedia.org/wiki/File:CarlosMariaHerrera.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q456427,check_commons_file_page,portrait_or_artist_image,image_found,Fotografía/retrato de Carlos María Herrera hacia 1900; buen candidato de ficha.,https://commons.wikimedia.org/w/index.php?search=Carlos%20Mar%C3%ADa%20Herrera%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Carlos%20Mar%C3%ADa%20Herrera&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Carlos%20Mar%C3%ADa%20Herrera,Q456427
28,Edmundo Prati,1889-1970,28,edmundo-prati,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Arturo_Frondizi_y_el_escultor_uruguayo_Edmundo_Prati%2C_Montevideo_%281962%29.jpg,https://commons.wikimedia.org/wiki/File:Arturo_Frondizi_y_el_escultor_uruguayo_Edmundo_Prati%2C_Montevideo_%281962%29.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q8772163,check_commons_file_page,portrait_or_artist_image,image_found,"MNAV cataloga “Fotografía de Edmundo Prati”. Candidato muy claro, revisar si se puede reproducir o enlazar.",https://commons.wikimedia.org/w/index.php?search=Edmundo%20Prati%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Edmundo%20Prati&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Edmundo%20Prati,Q8772163
29,Ernesto Laroche,1879-1940,27,ernesto-laroche,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Ernesto_Laroche.jpg,https://commons.wikimedia.org/wiki/File:Ernesto_Laroche.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q8777378,check_commons_file_page,portrait_or_artist_image,image_found,No apareció retrato libre claro en la búsqueda inicial; buscar en museos/archivos o usar obra representativa.,https://commons.wikimedia.org/w/index.php?search=Ernesto%20Laroche%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Ernesto%20Laroche&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Ernesto%20Laroche,Q8777378
30,Juan Martín,1913-1999,27,juan-martin,necesita imagen,,,https://commons.wikimedia.org/w/index.php?search=Juan%20Mart%C3%ADn%20artista%20uruguayo&title=Special:MediaSearch&type=image,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q111478777,unknown,search_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Juan%20Mart%C3%ADn%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Juan%20Mart%C3%ADn&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Juan%20Mart%C3%ADn,Q111478777
31,Manuel Collazo Castro,1892-1953,27,manuel-collazo-castro,necesita imagen,,,https://commons.wikimedia.org/w/index.php?search=Manuel%20Collazo%20Castro%20artista&title=Special:MediaSearch&type=image,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q42382758,unknown,search_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Manuel%20Collazo%20Castro%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Manuel%20Collazo%20Castro&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Manuel%20Collazo%20Castro,Q42382758
32,José Luis Zorrilla de San Martín,1891-1975,26,jose-luis-zorrilla-de-san-martin,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9_Luis_Zorrilla_de_San_Mart%C3%ADn.jpg,https://commons.wikimedia.org/wiki/File:Jos%C3%A9_Luis_Zorrilla_de_San_Mart%C3%ADn.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q3294523,check_commons_file_page,portrait_or_artist_image,image_found,Commons tiene categoría del escultor y obras/monumentos; falta validar retrato exacto.,https://commons.wikimedia.org/w/index.php?search=Jos%C3%A9%20Luis%20Zorrilla%20de%20San%20Mart%C3%ADn%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Jos%C3%A9%20Luis%20Zorrilla%20de%20San%20Mart%C3%ADn&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Jos%C3%A9%20Luis%20Zorrilla%20de%20San%20Mart%C3%ADn,Q3294523
33,Carlos Alberto Castellanos,1881-1945,25,carlos-alberto-castellanos,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Carlos_Alberto_Castellanos_-_autorretrato.jpg,https://commons.wikimedia.org/wiki/File:Carlos_Alberto_Castellanos_-_autorretrato.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q28543079,check_commons_file_page,portrait_or_artist_image,image_found,Commons tiene creator page con imagen asociada; revisar archivo exacto y licencia antes de importar.,https://commons.wikimedia.org/w/index.php?search=Carlos%20Alberto%20Castellanos%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Carlos%20Alberto%20Castellanos&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Carlos%20Alberto%20Castellanos,Q28543079
34,Anhelo Hernández,1922-2010,24,anhelo-hernandez,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Abuelo.png,https://commons.wikimedia.org/wiki/File:Abuelo.png,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q5676937,check_commons_file_page,portrait_or_artist_image,image_found,No apareció resultado fiable en Commons; buscar fuente institucional o usar fallback editorial.,https://commons.wikimedia.org/w/index.php?search=Anhelo%20Hern%C3%A1ndez%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Anhelo%20Hern%C3%A1ndez&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Anhelo%20Hern%C3%A1ndez,Q5676937
35,Luis A. Solari,1918-1993,24,luis-a-solari,necesita imagen,,,https://mnav.gub.uy/cms.php?a=441,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q6700286,institutional_source_review,artwork_reference,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Luis%20A.%20Solari%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Luis%20A.%20Solari&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Luis%20A.%20Solari,Q6700286
36,Luis Mazzey,1895-1983,24,luis-mazzey,necesita imagen,,,https://commons.wikimedia.org/w/index.php?search=Luis%20Mazzey%20artist%20Uruguay&title=Special:MediaSearch&type=image,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q42382941,unknown,search_candidate,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Luis%20Mazzey%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Luis%20Mazzey&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Luis%20Mazzey,Q42382941
37,Leonilda González,1923-2017,23,leonilda-gonzalez,necesita imagen,,,https://mnav.gub.uy/cms.php?a=207,"Wikidata found, no P18 image",https://www.wikidata.org/wiki/Q19721982,institutional_source_review,artwork_reference,needs_fallback_search,"Search Commons/MNAV for portrait, self-portrait, or representative artwork.",https://commons.wikimedia.org/w/index.php?search=Leonilda%20Gonz%C3%A1lez%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Leonilda%20Gonz%C3%A1lez&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Leonilda%20Gonz%C3%A1lez,Q19721982
38,Domingo Laporte,1855-1928,22,domingo-laporte,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Domingo_Laporte.jpg,https://commons.wikimedia.org/wiki/File:Domingo_Laporte.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q12163354,check_commons_file_page,portrait_or_artist_image,image_found,"No validé retrato libre; probablemente haya fuentes históricas, pero requiere revisión manual.",https://commons.wikimedia.org/w/index.php?search=Domingo%20Laporte%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Domingo%20Laporte&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Domingo%20Laporte,Q12163354
39,Juan Manuel Ferrari,1874-1916,22,juan-manuel-ferrari,necesita imagen,,https://commons.wikimedia.org/wiki/Special:FilePath/Juan_Manuel_Ferrari_.jpg,https://commons.wikimedia.org/wiki/File:Juan_Manuel_Ferrari_.jpg,Wikidata P18 / Wikimedia Commons,https://www.wikidata.org/wiki/Q6300337,check_commons_file_page,portrait_or_artist_image,image_found,Commons tiene creator page/categoría del escultor con obras; falta validar si la imagen de infobox es retrato usable.,https://commons.wikimedia.org/w/index.php?search=Juan%20Manuel%20Ferrari%20artista%20uruguayo&title=Special:MediaSearch&type=image,https://www.wikidata.org/w/index.php?search=Juan%20Manuel%20Ferrari&title=Special:Search&ns0=1,https://mnav.gub.uy/cms.php?buscar=Juan%20Manuel%20Ferrari,Q6300337
